watersource,age_scaled,log_hhsize,year_scaled,gender,slumarea,selfrating_scaled,shocks_ever_bin,dwelling,ownhere,ownelse,expenditure_scaled,income_scaled,foodeaten,rentorown,watersourceP
1,-0.8639731379293419,1.3862943611198906,0.6679617884649054,male,viwandani,0.04418736415425772,No,0.037698343300173874,0.40630243258967713,1.5854346221072304,-0.5223686229791937,0.6226889197213058,Had enough,Not owned,Not observed
1,0.25166264369640873,1.0986122886681098,0.6679617884649054,female,viwandani,0.7908795083936536,No,0.6864842343865799,1.497029350577687,-2.6795872409710975,2.075044700812691,-0.08219021745855175,Had enough,Not owned,Unimproved
1,-1.235851731804592,0.6931471805599453,-0.15676828931926542,male,viwandani,-1.449196924324534,No,0.037698343300173874,-0.11133292207617619,0.8918584876425999,-0.10630699216584834,0.6226889197213058,Had enough,Not owned,Improved
1,-0.9569427863981544,1.3862943611198906,-0.15676828931926542,male,korogocho,-0.7025047800851382,No,0.6864842343865799,-0.5275351303250435,-2.6795872409710975,-0.48076245989785915,-0.7870693546384093,Didn't have enough,Not owned,Not observed
1,2.204025261541472,1.0986122886681098,1.4926918662490762,female,korogocho,0.7908795083936536,No,-1.5498590634211882,-2.213894416724163,-2.6795872409710975,-0.5520873108944326,-1.4919484918182668,Had enough,Not owned,Not observed
1,-0.6780338409917168,0,0.6679617884649054,male,viwandani,0.7908795083936536,No,0.037698343300173874,-0.2461241220953311,-0.43281576270559113,-0.5580310484774804,-0.08219021745855175,Didn't have enough,Not owned,Base year
1,-0.02724630171002894,2.0794415416798357,1.4926918662490762,male,korogocho,0.7908795083936536,No,-1.4701303413376645,-0.09638296749657009,-2.6795872409710975,0.452404340640644,-0.7870693546384093,Didn't have enough,Not owned,Improved
1,-0.5850641925229043,1.3862943611198906,0.25559674957281997,male,viwandani,1.5375716526330494,No,0.6864842343865799,3.065559358787962,0.2679537722403066,0.34541706414578377,0.6226889197213058,Had enough,Not owned,Improved
1,0.9954198314469092,1.3862943611198906,1.0803268273569908,male,viwandani,-0.7025047800851382,No,0.6864842343865799,1.7508574497971372,-0.43281576270559113,0.48212302855588296,0.6226889197213058,Had enough,Not owned,Improved
1,0.3446322921652213,1.0986122886681098,-0.15676828931926542,female,korogocho,-1.449196924324534,No,0.6864842343865799,0.15247433337022692,-2.6795872409710975,0.1373862487391111,-0.7870693546384093,Didn't have enough,Not owned,Base year
1,0.7165108860404715,0,1.4926918662490762,male,viwandani,-0.7025047800851382,No,0.6864842343865799,1.098430895112129,3.443278011811884,0.35136080172883155,0.6226889197213058,Had enough,Not owned,Improved
